Name,AAA_C3,AAA_C6,Agrifood (Coles) C6,ALS_C6,Coles,FreshTest_C6,NMI (2017),PEST06,PEST08,PEST08_C6
Fipronil trifluoromethyl,,,,,,X,,,,
Flamprop,,,,,,,,,X,
Flamprop-methyl,,,,,,,,,X,
Flazasulfuron,,,,,,,,,X,
Fluacrypyrim,,,,,,,,,X,
Fluazifop-p-butyl,,,,,,,,,X,
Fluazinam,,,,,,,,,X,
Flubendamide,,X,,,,,,,,
Flubendamide ,,,,,,X,,,,
Flubendazole,,,,,,,,,X,
Flubendiamide,,,,X,X,,X,,X,X
Flucythrinate,,,,,,,,,X,
Fludioxonil,X,X,X,X,X,X,X,X,X,X
Flufenacet,,,,,,,,,X,
Flumiclorac-pentyl,,,,,,,,,X,
Flumioxazin,,,,,,,,,X,
Fluometuron,,,,,X,,,,X,
Fluopicolide,,,,,,,,,X,
Fluopyram,,,,,,,,,X,
Fluquinconazole,,,,,,,,,X,
Fluridone,,,,,,,,,X,
Flusilazole,X,X,X,X,X,X,X,X,X,X
Fluthiacet-methyl,,,,,,,,,X,
Flutolanil,,,,,,,,,X,
Flutriafol,,,,,,,,,X,
Fluvalinate,X,X,X,X,X,X,X,,X,X
Fluvalinate-tau,X,X,X,X,X,X,X,X,,
Folpet,,,,,,,,,X,
Fonofos,,,,,,,,,X,
Forchlorfenuron,,,,,,,,,X,
Formetanate hydrochloride,,,,,,,,,X,
Formothion,,,,,,,X,,,
Fosthiazate,,,,,,,,,X,
Fuberidazole,,,,,,,,,X,
Furalaxyl,,,,,,,,,X,
Furametpyr,,,,,,,,,X,
Furathiocarb,,,,,,,,,X,
Glufosinate,,,,,X,,,,,
Glyphosate,,,,,X,,,,,
Halosulfuron-methyl,,,,,,,,,X,
Haloxyfop,,,,,X,,,,,
Haloxyfop-etotyl,,,,,,,,,X,
Haloxyfop-methyl,,,,,,,,,X,
HCH,X,X,X,X,X,,X,X,,
HCH-alpha,X,X,X,X,X,X,X,,X,X
HCH-beta,X,X,X,X,X,X,X,,X,X
HCH-delta,X,X,X,X,X,X,X,,X,X
HCH-gamma (Lindane),X,X,X,X,X,X,X,X,X,X
Heptachlor,,,X,X,X,X,X,X,X,X
Heptachlor endo-epoxide,,,,,,,,,X,X
Heptachlor Epoxide,,,X,X,X,X,X,,,
Heptachlor exo-epoxide,,,,,,,,,X,X
Heptenophos,,,,,,,,,X,
Hexachlorobenzene,X,X,X,X,X,X,X,X,X,X
Hexaconazole,X,X,X,X,X,X,X,X,X,X
Hexaflumuron,,,,,,,,,X,
Hexazinone,,,,,,,,,X,
Hexythiazox,X,X,X,X,X,X,X,X,X,X
Imazalil,X,X,X,X,X,X,X,X,X,X
Imazamethabenz-methyl,,,,,,,,,X,
Imazosulfuron,,,,,,,,,X,
Imidacloprid,,X,,X,X,X,X,,X,X
Imidacloprid olefin,,,,,,,,,X,X
Inabenfide,,,,,,,,,X,
Indanofan,,,,,,,,,X,
Indoxacarb,,,X,X,X,X,X,X,X,X
Iodfenphos,,,,,,,,,X,
Iodosulfuron-methyl,,,,,,,,,X,
Iprobenfos,,,,,,,,,X,
Iprodione,X,X,X,X,X,X,X,X,X,X
Iprovalicarb,,,,,,,,,X,
Isazofos,,,,,,,,,X,
Isofenphos,,,,,,,,,X,
Isofenphos-methyl,,,,,,,,,X,
Isoprocarb,,,,,,,,,X,
Isoprothiolane,,,,,,,,,X,
Isoproturon,,,,,,,,,X,
Isopyrazam,,,,,,,,,X,
Isoxaben,,,,,X,,X,,,
Isoxathion,,,,,,,,,X,
Karbutilate,,,,,,,,,X,
Kresoxim-methyl,X,X,X,X,X,X,X,X,X,X
Lactofen,,,,,,,,,X,
Lenacil,,,,,,,,,X,
Leptophos,,,,,,,,,X,
Linuron,X,X,X,X,X,X,X,X,X,X
Lufenuron,,,,,,,,,X,
Malathion,X,X,X,X,X,X,X,X,X,X
Mandipropamid,,,,,,,X,,X,
MCPA,,,,,X,,,,,
Mefenacet,,,,,,,,,X,
Mefenpyr-diethyl,,,,,,,,,X,
Mepanipyrim,,,,,,,,,X,
Mepronil,,,,,,,,,X,
Mesotrione,,,,,,,,,X,
Metalaxyl,X,X,X,X,X,X,X,X,X,X
Metaldehyde,,,,,X,,,,,
Metamitron,,,,,,,,,X,
Metconazole,,,,,,,,,X,
Methabenzthiazuron,,,X,X,X,,X,,X,X
Methacrifos,,,X,X,X,,X,,X,X
Metham-sodium,X,X,X,X,X,X,X,X,X,X
Methidathion,X,X,X,X,X,X,X,X,X,X
Methiocarb,,,,,X,,X,,X,
Methiocarb sulfone,,,,,,,,,X,
Methiocarb sulfoxide,,,,,,,,,X,
Methomyl,,X,,X,X,X,X,X,X,X
Methomyl oxime,,X,,X,X,X,X,,,
Methomyl Total,,,,,,,X,,,
Methoxychlor,,,,,,,X,,X,
Methoxyfenozide,,,,,,,X,,X,
Methyl Bromide,,,,,X,,,,,
Methyl Isothiocyanate,,,,,X,,,,,
Metobromuron,,,,,,,,,X,
Metolachlor,,,,,,,X,,X,
Metosulam,,,,,,,,,X,
Metrafenone,,,,,,,X,,X,
Metribuzin,X,X,X,X,X,X,X,,X,X
Metsulfuron-methyl,,,,,,,,,X,
Mevinphos,X,X,X,X,X,X,X,X,X,X
Milbemycin A3,,,,,,,,,X,
Milbemycin A4,,,,,,,,,X,
Mirex,,,,,,,,,X,
Molinate,,,,,,,X,,X,
Monocrotophos,X,X,X,X,X,X,X,X,X,X
Monolinuron,,,,,,,,,X,
Myclobutanil,X,X,X,X,X,X,X,X,X,X
Napropamide,,,,,,,X,,X,
Nicotine,,,,,,,,,X,
Nitrofen,,,,,,,,,X,
Nitrothal-isopropyl,,,,,,,,,X,
Nonachlor,,,,,,,X,,,
Norflurazon,,,,,,,X,,X,
Novaluron,,,,,,,X,,X,
Octhilinone,,,,,,,,,X,
Omethoate,X,X,X,X,X,X,X,,X,X
Oryzalin,,,,,,,,,X,
Oxabetrinil,,,,,,,,,X,
Oxadiazon,,,,,,,,,X,
Oxadixyl,,,,,X,,X,,X,
Oxamyl,,,,,,,,,X,
Oxycarboxin,,,,,,,X,,X,
Oxyfluorfen,X,X,X,X,X,X,X,X,X,X
Paclobutrazol,X,X,X,X,X,X,X,X,X,X
Paraquat,,,,,X,,,,,
Parathion,X,X,X,X,X,X,X,,X,X
Parathion-ethyl,,,,,,,,X,,
Parathion-methyl,X,X,X,X,X,X,X,X,X,X
Penconazole,X,X,X,X,X,X,X,X,X,X
Pencycuron,,,,,,,,,X,
Pendimethalin,X,X,X,X,X,X,X,X,X,X
Pentachlorobenzene,,,,,,,,,X,
Penthiopyrad,,,,,,,,,X,
Permethrin,X,X,X,X,X,X,X,X,X,X
Phenmedipham,,,,,,,,,X,
Phenothrin,X,X,X,X,X,X,X,X,,
Phenthoate,,,,,,,,,X,
Phorate,X,X,X,X,X,X,X,X,X,X
Phoratesulfone,,,,,,,,,X,X
Phoratesulfoxide,,,,,,,,,X,X
Phosalone,,,,,,,X,,X,
Phosmet,X,X,X,X,X,X,X,X,X,X
Phosphamidon,,,,,,,X,,X,
Phoxim,,,,,,,,,X,
Picolinafen,,,,,,,,,X,
Piperonyl butoxide,X,X,X,X,X,X,X,X,X,X
Piperophos,,,,,,,,,X,
Pirimicarb,X,X,X,X,X,X,X,X,X,X
