Name,AAA_C3,AAA_C6,ALS_C6,Coles,FreshTest_C6,FSANZ_MRL,Indonesia,NMI (2017),PEST06,PEST08,PEST08_C6,Vietnam,Vietnam_(sub)
Dicyclanil,,,,,,X,,,,X,,,
Didecyldimethylammonium chloride,,,,,,X,,,,X,,,
Dieldrin,X,X,X,X,X,X,X,X,,X,X,X,
Diethofencarb,,,,,,,,,,X,,,
Difenoconazole,,,X,X,X,X,X,X,X,X,X,,
Difenoconazole (cis & trans),X,X,,,,,,,,,,,
Diflubenzuron,,,,,,X,X,,,X,,,
Diflufenican,,,,,,X,,,,X,,,
Dimepiperate,,,,,,,,,,X,,,
Dimethamid,,,,X,,,,,,,,,
Dimethenamid,,,,,,,,,,X,,,
Dimethenamid-P,,,,,,X,,,,,,,
Dimethipin,,,,,,X,,,,,,,
Dimethirimol,,,,,,X,,,,,,,
Dimethoate,X,X,X,X,X,X,X,X,X,X,X,,
Dimethomorph,,,X,X,X,X,X,X,X,X,X,,
Dimethomorph (-E&Z),X,X,,,,,,,,,,,
Dimethylvinphos,,,,,,,,,,X,,,
Dinitolmide,,,,,,X,,,,,,,
Dinitro-o-toluamide,,,,,,X,,,,,,,
Dinocap,,,,,,,X,,,,,,
Dinotefuran,,,,,,X,,,,,,,
Dioxabenzofos,,,,,,,,,,X,,,
Dioxathion,,,,,,,,X,,X,,,
Diphenamid,,,,,,,,,,X,,,
Diphenylamine,X,X,X,X,X,X,X,X,X,X,X,,
Diquat,,,,X,,X,,,,,,,
Diquat dibromide monohydrate,,,,,,,X,,,,,,
Disulfoton,,,,,,X,X,,X,X,,,X
Disulfuton,,,,X,,,,,,,,,
Disulphoton,,,,,,,,X,,,,,
Dithianon,,X,,X,,X,X,,,,,,
Dithianon ,,,,,X,,,,,,,,
Dithiocarbamate,,,,,,,,,,,,,X
Dithiocarbamates,,,,X,X,X,,,,,,,
Dithiopyr,,,,,,,,,,X,,,
Diuron,,X,X,X,X,X,,X,X,X,X,,
Dodine,,,,,,X,X,,,X,,,
Doramectin,,,,,,X,,,,,,,
EDC,,,,,,X,,,,,,,
Edifenphos,,,,,,,,,,X,,,
Emamectin,,,,,,X,,X,,,,,
Emamectinbenzoate,,,,,,,,,,X,,,
Endosulfan,,,,,,X,X,,X,,,,X
Endosulfan - beta,,,,,X,,,,,,,,
Endosulfan - Sulphate,,,,X,X,,,X,,,,,
Endosulfan - Total,,,,,X,,,X,,,,,
Endosulfan (alpha),,,X,,,,,,,,,,
Endosulfan (beta),,,X,,,,,,,,,,
Endosulfan alpha,,,,,X,,,,,,,,
Endosulfan sulfate,X,X,,,,,,,,X,X,,
Endosulfan sulphate,,,X,,,,,,,,,,
Endosulfan ά,,,,,,,,X,,,,,
Endosulfan β,,,,,,,,X,,,,,
Endosulfan-alpha,X,X,,,,,X,,,,,X,
Endosulfan-beta,X,X,,,,,X,,,,,X,
Endosulfan-Total,X,X,,,,,,,,,,,
Endosulphan - Total,,,,X,,,,,,,,,
Endosulphan Total,,,X,,,,,,,,,,
Endothal,,,,,,X,,,,,,,
Endrin,,,X,X,X,,X,X,X,X,X,X,
Endrin ketone,,,,,,,,,,X,X,,
Enilconazole,,,,,,X,,,,,,,
EPN,,,,,,,,,,X,,,
Epoxiconazole,,,,,,X,,X,,X,,,
Eprinomectin,,,,,,X,,,,,,,
EPTC,,,,,,X,,,,X,,,
Erythromycin,,,,,,X,,,,,,,
Esfenvalerate,X,X,X,X,X,X,,X,,,,,
Esprocarb,,,,,,,,,,X,,,
Ethalfluralin,,,,,,,,,,X,,,
Ethametsulfuron-methyl,,,,,,,,,,X,,,
Ethephon,,,,X,,X,X,,,,,,
Ethiofencarb,,,,,,,,,,X,,,
Ethion,,,,,,X,,X,,X,,,
Ethiprole,,,,,,,,,,X,,,
Ethofumesate,,,,,,X,,X,,X,,,
Ethopabate,,,,,,X,,,,,,,
Ethoprofos,,,,,,,,,X,,,,
Ethoprophos,,,,,,X,,,,X,,,
Ethoxyquin,,,,,,X,X,,,X,,X,
Ethoxysulfuron,,,,,,X,,,,X,,,
Ethychlozate,,,,,,,,,,X,,,
Ethyl formate,,,,,,X,,,,,,,
Ethylene dichloride (EDC),,,,,,X,,,,,,,
Etobenzanid,,,,,,,,,,X,,,
Etofenprox,,,,,,,X,,,,,,X
Etoxazole,,,,,,X,,X,,X,X,X,
Etoxazole*,,,,,X,,,,,,,,
Etridiazole,,,,,,X,,,,X,,,
Etrimfos,,,,,,,,,,X,,,
Famoxadone,,,,,,X,,,,X,,,
Famphur,,,,,,,,,,X,,,
Fenamidone,,,,,,,,,,X,,,
Fenamiphos,X,X,X,X,X,X,X,X,X,X,X,,
Fenarimol,X,X,X,X,X,X,X,X,X,X,X,,
Fenbendazole,,,,,,X,,,,,,,
Fenbuconazole,,,,,,X,X,,,X,,,
Fenbutatin oxide,,,,,,X,,,,,,,
Fenbutatin Oxide,,,,,,,X,,,,,,
Fenchlorphos,,,,,,,,X,,X,,,
Fenhexamid,,X,X,X,X,X,,X,X,X,X,,
Fenitrothion,X,X,X,X,X,X,,X,X,X,X,,
Fenobucarb,,,,,,,X,,,X,,,
Fenothiocarb,,,,,,,,,,X,,,
Fenoxanil,,,,,,,,,,X,,,
Fenoxaprop,,,,,,,,,,X,,,
Fenoxaprop-ethyl,,,,,,X,,,,X,,,
Fenoxycarb,X,X,X,X,X,X,,X,X,X,X,,
Fenpiclonil,,,,,,,,,,X,,,
Fenpropathrin,,,,,,X,X,,,X,,,
Fenpropidin,,,,,,,,,,X,,,
Fenpropimorph,,,,,,,,,,X,,,
Fenpyrazamine,,,,,,X,,X,,,,,
Fenpyroximate,,X,X,X,X,X,,X,X,X,X,,
Fensulfothion,,,,,,,,,,X,,,
Fenthion,X,X,X,X,X,X,X,X,X,X,X,X,
Fenthion ethyl,,,,,,,,,,X,,,
Fenthion oxon,,,,,X,,,,,,,,
Fenthion oxon sulfone,,,,,X,,,,,,,,
Fenthion oxon sulfoxide,,,,,X,,,,,,,,
