"","Name","CAS","PEST08","PEST08_C6","Proposed_C6","PEST06","PEST00","PEST07"
"174","Disulfoton sulfoxide","""2497-07-6""","","","","","",""
"175","Dithiopyr","","X","","","","",""
"176","Diuron","330-54-1","X","X","X","X","",""
"177","Dodine","","X","","","","",""
"178","Edifenphos","","X","","","","",""
"179","Emamectinbenzoate","","X","","","","",""
"180","Endosulphan","","","","","X","X",""
"181","Endosulphan sulphate","1031-07-8","X","X","X","","X","X"
"182","Endosulphan Total","","","","X","","",""
"183","Endosulphan-alpha","959-98-8","X","X","X","","X","X"
"184","Endosulphan-beta","33213-65-9","X","X","X","","X","X"
"185","Endrin","72-20-8","X","X","X","X","X","X"
"186","Endrin ketone","","X","X","","","",""
"187","EPN","","X","","","","",""
"188","Epoxiconazole","","X","","","","",""
"189","EPTC","","X","","","","",""
"190","Esfenvalerate","66230-04-4","","","X","","",""
"191","Esprocarb","","X","","","","",""
"192","Ethalfluralin","","X","","","","",""
"193","Ethametsulfuron-methyl","","X","","","","",""
"194","Ethiofencarb","","X","","","","",""
"195","Ethion","563-12-2","X","","","","",""
"196","Ethiprole","","X","","","","",""
"197","Ethofumesate","","X","","","","",""
"198","Ethoprophos","13194-48-4","X","","","X","X",""
"199","Ethoxyquin","","X","","","","",""
"200","Ethoxysulfuron","","X","","","","",""
"201","Ethychlozate","","X","","","","",""
"202","Etobenzanid","","X","","","","",""
"203","Etoxazole","","X","X","","","",""
"204","Etridiazole","","X","","","","",""
"205","Etrimfos","","X","","","","",""
"206","Famoxadone","","X","","","","",""
"207","Famphur","","X","","","","",""
"208","Fenamidone","","X","","","","",""
"209","Fenamiphos","22224-92-6","X","X","X","X","X",""
"210","Fenamiphos Sulfone","31972-44-8","","","","","",""
"211","Fenamiphos Sulfoxide","31972-43-7","","","","","",""
"212","Fenarimol","60168-88-9","X","X","X","X","X",""
"213","Fenbuconazole","","X","","","","",""
"214","Fenchlorphos","299 - 84 - 3","X","","","","","X"
"215","Fenhexamid","126833-17-8","X","X","X","X","",""
"216","Fenitrothion","122-14-5 ","X","X","X","X","X",""
"217","Fenobucarb","","X","","","","",""
"218","Fenothiocarb","","X","","","","",""
"219","Fenoxanil","","X","","","","",""
"220","Fenoxaprop","","X","","","","",""
"221","Fenoxaprop-ethyl","","X","","","","",""
"222","Fenoxycarb","72490-01-8","X","X","X","X","X",""
"223","Fenpiclonil","","X","","","","",""
"224","Fenpropathrin","","X","","","","",""
"225","Fenpropidin","","X","","","","",""
"226","Fenpropimorph","","X","","","","",""
"227","Fenpyroximate","134098-61-6","X","X","X","X","",""
"228","Fensulfothion","","X","","","","",""
"229","Fenthion","55-38-9","X","X","X","X","X",""
"230","Fenthion ethyl","","X","","","","",""
"231","Fenthion sulfone","3761-42-0","X","X","","","",""
"232","Fenthion sulfoxide","3761-41-9","X","X","","","",""
"233","Fenthion-oxon","""6552-12-1""","X","X","","","",""
"234","Fenthion-oxon sulfone","14086-35-2","X","X","","","",""
"235","Fenthion-oxon sulfoxide","6552-13-2","X","X","","","",""
"236","Fentrazamide","","X","","","","",""
"237","Fenvalerate","51630-58-1","X","X","X","X","",""
"238","Ferimzone","","X","","","","",""
"239","Fipronil","120068-37-3 ","X","X","X","X","X",""
"240","Fipronil sulfide","120067-83-6","X","X","","","",""
"241","Fipronil sulfone","120068-36-2","","","","","",""
"242","Fipronil sulphone","","X","X","","","",""
"243","Fipronil-Desulfinyl","205650-65-3 ","","","","","",""
"244","Flamprop","","X","","","","",""
"245","Flamprop-methyl","","X","","","","",""
"246","Flazasulfuron","","X","","","","",""
"247","Fluacrypyrim","","X","","","","",""
"248","Fluazifop-p-butyl","","X","","","","",""
"249","Fluazinam","","X","","","","",""
"250","Flubendazole","","X","","","","",""
"251","Flubendiamide","","X","X","","","",""
"252","Flucythrinate","","X","","","","",""
"253","Fludioxonil","131341-86-1","X","X","X","X","",""
"254","Flufenacet","","X","","","","",""
"255","Flumiclorac-pentyl","","X","","","","",""
"256","Flumioxazin","","X","","","","",""
"257","Fluometuron","","X","","","","",""
"258","Fluopicolide","","X","","","","",""
"259","Fluopyram","","X","","","","",""
"260","Fluquinconazole","","X","","","","",""
"261","Fluridone","","X","","","","",""
"262","Flusilazole","85509-19-9","X","X","X","X","",""
"263","Fluthiacet-methyl","","X","","","","",""
"264","Flutolanil","","X","","","","",""
"265","Flutriafol","","X","","","","",""
"266","Fluvalinate","","X","X","X","","",""
"267","Fluvalinate-tau","102851-06-9","","","X","X","",""
"268","Folpet","","X","","","","",""
"269","Fonofos","","X","","","","",""
"270","Forchlorfenuron","","X","","","","",""
"271","Formetanate hydrochloride","","X","","","","",""
"272","Fosthiazate","","X","","","","",""
"273","Fuberidazole","","X","","","","",""
"274","Furalaxyl","","X","","","","",""
"275","Furametpyr","","X","","","","",""
"276","Furathiocarb","","X","","","","",""
"277","Halosulfuron-methyl","","X","","","","",""
"278","Haloxyfop-etotyl","","X","","","","",""
"279","Haloxyfop-methyl","","X","","","","",""
"280","HCH","","","","X","X","",""
"281","HCH-alpha","319-84-6","X","X","X","","","X"
"282","HCH-beta","319-85-7","","","X","","","X"
"283","HCH-delta","319-86-8","","","X","","","X"
"284","HCH-gamma (Lindane)","","X","X","X","X","","X"
"285","Heptachlor","76-44-8 ","X","X","X","X","","X"
"286","Heptachlor endo-epoxide","28044-83-9","X","X","","","",""
"287","Heptachlor epoxide","","","","X","","X",""
"288","Heptachlor exo-epoxide","1024-57-3","X","X","","","","X"
"289","Heptenophos","","X","","","","",""
"290","Hexachlorobenzene","118-74-1","X","X","X","X","",""
"291","Hexaconazole","79983-71-4","X","X","X","X","",""
"292","Hexaflumuron","","X","","","","",""
"293","Hexazinone","","X","","","","",""
"294","Hexythiazox","78587-05-0","X","X","X","X","",""
"295","Imazalil","35554-44-0","X","X","X","X","",""
"296","Imazamethabenz-methyl","","X","","","","",""
"297","Imazilil","","","","","","X",""
"298","Imazosulfuron","","X","","","","",""
"299","Imidacloprid","138261-41-3","X","X","X","","",""
"300","Imidacloprid oefin","115086-54-9","","","","","",""
"301","Imidacloprid olefin","","X","X","","","",""
"302","Inabenfide","","X","","","","",""
"303","Indanofan","","X","","","","",""
"304","Indoxacarb","144171-61-9 ","X","X","X","X","",""
"305","Iodfenphos","","X","","","","",""
"306","Iodosulfuron-methyl","","X","","","","",""
"307","Iprobenfos","","X","","","","",""
"308","Iprodione","36734-19-7","X","X","X","X","",""
"309","Iprovalicarb","","X","","","","",""
"310","Isazofos","","X","","","","",""
"311","Isofenphos","","X","","","","",""
"312","Isofenphos-methyl","","X","","","","",""
"313","Isoprocarb","","X","","","","",""
"314","Isoprothiolane","","X","","","","",""
"315","Isoproturon","","X","","","","",""
"316","Isopyrazam","","X","","","","",""
"317","Isoxathion","","X","","","","",""
"318","Karbutilate","","X","","","","",""
"319","Kresoxim methyl","143390-89-0","","","","","",""
"320","Kresoxim-methyl","","X","X","X","X","",""
"321","Lactofen","","X","","","","",""
"322","Lambda Cyhalothrin","91465-08-6","","","","","",""
"323","Lenacil","","X","","","","",""
"324","Leptophos","","X","","","","",""
"325","Lindane","58-89-9","","","","","",""
"326","Linuron","330-55-2","X","X","X","X","",""
"327","Lufenuron","","X","","","","",""
"328","Malathion","121-75-5","X","X","X","X","X",""
"329","Mandipropamid","","X","","","","",""
"330","Mefenacet","","X","","","","",""
"331","Mefenpyr-diethyl","","X","","","","",""
"332","Mepanipyrim","","X","","","","",""
"333","Mepronil","","X","","","","",""
"334","Mesotrione","","X","","","","",""
"335","Metalaxyl","57837-19-1","X","X","X","X","X",""
"336","Metamitron","","X","","","","",""
"337","Metconazole","","X","","","","",""
"338","Methabenzthiazuron","18691-97-9","X","X","X","","",""
"339","Methacrifos","62610-77-9","X","X","X","","",""
"340","Metham-sodium","","X","X","X","X","",""
"341","Methamidophos","10265-92-6","","","","","",""
"342","Methidathion","950-37-8","X","X","X","X","X",""
"343","Methiocarb","","X","","","","",""
"344","Methiocarb sulfone","","X","","","","",""
"345","Methiocarb sulfoxide","","X","","","","",""
"346","Methomyl","16752-77-5","X","X","X","X","",""
"347","Methomyl oxime","13749-94-5","","","X","","",""
"348","Methoxychlor","","X","","","","",""
"349","Methoxyfenozide","","X","","","","",""
"350","Methyl parathion","298-00-0","","","","","X",""
"351","Metobromuron","","X","","","","",""
"352","Metolachlor","","X","","","","",""
"353","Metosulam","","X","","","","",""
"354","Metrafenone","","X","","","","",""
"355","Metribuzin","21087-64-9","X","X","X","","",""
"356","Metsulfuron-methyl","","X","","","","",""
"357","Mevinphos","7786-34-7","X","X","X","X","",""
"358","Milbemycin A3","","X","","","","",""
"359","Milbemycin A4","","X","","","","",""
"360","Mirex","","X","","","","",""
"361","Molinate","","X","","","","",""
"362","Monocrotophos","6923-22-4 ","X","X","X","X","X",""
"363","Monolinuron","","X","","","","",""
"364","Myclobutanil","","X","X","X","X","",""
"365","Napropamide","","X","","","","",""
"366","Nicotine","","X","","","","",""
"367","Nitrofen","","X","","","","",""
"368","Nitrothal-isopropyl","","X","","","","",""
"369","Norflurazon","","X","","","","",""
"370","Novaluron","","X","","","","",""
"371","o,p'-Dicofol","10606-46-9","","","","","",""
"372","o,p""-DDD","","","","","","X",""
"373","o,p""-DDE","","","","","","X",""
"374","o,p""-DDT","","","","","","X",""
"375","o""-DDD","","X","X","","","",""
"376","o""-DDE","","X","X","","","",""
"377","o""-DDT","","X","X","","","",""
"378","Octhilinone","","X","","","","",""
"379","Omethoate","1113-02-6","X","X","X","","X",""
"380","Oryzalin","","X","","","","",""
"381","Oxabetrinil","","X","","","","",""
"382","Oxadiazon","","X","","","","",""
"383","Oxadixyl","","X","","","","",""
"384","Oxamyl","","X","","","","",""
"385","Oxycarboxin","","X","","","","",""
"386","Oxyfluorfen","42874-03-3","X","X","X","X","X",""
"387","p,p""-DDD","","","","","","X",""
"388","p,p""-DDE","","","","","","X",""
"389","p,p""-DDT","","","","","","X",""
"390","p""-DDD","","X","X","","","",""
"391","p""-DDE","","X","X","","","",""
"392","p""-DDT","","X","X","","","",""
"393","Paclobutrazol","76738-62-0","X","X","X","X","",""
"394","Parathion","56-38-2","X","X","X","","X",""
"395","Parathion-ethyl","","","","","X","",""
"396","Parathion-methyl","","X","X","X","X","","X"
"397","PCB 101","","","","","","","X"
"398","PCB 118","","","","","","","X"
"399","PCB 138","","","","","","","X"
"400","PCB 153","","","","","","","X"
"401","PCB 180","","","","","","","X"
"402","PCB 28","","","","","","","X"
"403","PCB 52","","","","","","","X"
"404","Penconazole","66246-88-6","X","X","X","X","",""
"405","Pencycuron","","X","","","","",""
"406","Pendimethalin","40487-42-1","X","X","X","X","",""
"407","Pentachlorobenzene","","X","","","","",""
"408","Penthiopyrad","","X","","","","",""
"409","Permethrin","52645-53-1","X","X","X","X","X",""
"410","Phenmedipham","","X","","","","",""
"411","Phenothrin","26002-80-2","","","X","X","",""
"412","Phenthoate","","X","","","","",""
"413","Phorate","298-02-2","X","X","X","X","X",""
"414","Phorate Oxon Sulfoxide","""2558-05-8""","","","","","",""
"415","Phorate Sulfone","""2588-04-7""","","","","","",""
"416","Phorate Sulfoxide","""2588-03-6""","","","","","",""
"417","Phorate-Oxon","2600-69-3","","","","","",""
"418","Phorate-Oxon Sulfone","""2588-06-9""","","","","","",""
"419","Phoratesulfone","","X","X","","","",""
"420","Phoratesulfoxide","","X","X","","","",""
"421","Phosalone","","X","","","","",""
"422","Phosmet","732-11-6 ","X","X","X","X","X",""
"423","Phosmet Oxon","3735-33-9","","","","","",""
"424","Phosphamidon","","X","","","","",""
"425","Phoxim","","X","","","","",""
"426","Picolinafen","","X","","","","",""
"427","Piperonyl butoxide","51-03-6","X","X","X","X","X",""
"428","Piperophos","","X","","","","",""
"429","Pirimicarb","23103-98-2","X","X","X","X","X",""
"430","Pirimicarb-Demethyl-Formamido","27218-04-8","","","","","",""
