Name,Indonesia,PEST06,PEST08,PEST08_C6,Vietnam,Vietnam_(sub)
Mefenpyr-diethyl,,,X,,,
Mepanipyrim,,,X,,,
Mepronil,,,X,,,
Mesotrione,,,X,,,
Metalaxyl,X,X,X,X,,
Metamitron,,,X,,,
Metconazole,,,X,,,
Methabenzthiazuron,,,X,X,,
Methacrifos,,,X,X,,
Methamidophos,,X,X,X,,
Methidathion,X,X,X,X,,
Methiocarb,,,X,,,
Methiocarb sulfone,,,X,,,
Methiocarb sulfoxide,X,,X,,,
Methomyl,X,X,X,X,,
Methoxychlor,,,X,,,
Methoxyfenozide,,,X,,,
Metobromuron,,,X,,,
Metolachlor,,,X,,,
Metosulam,,,X,,,
Metrafenone,,,X,,,
Metribuzin,,,X,X,,
Metsulfuron-methyl,,,X,,,
Mevinphos,X,X,X,X,,
Milbemycin A3,,,X,,,
Milbemycin A4,,,X,,,
Mirex,,,X,,X,
Molinate,,,X,,,
Monocrotophos,X,X,X,X,,
Monolinuron,,,X,,,
Myclobutanil,X,X,X,X,,
Napropamide,,,X,,,
Nicotine,,,X,,,
Nitrofen,,,X,,,
Nitrothal-isopropyl,,,X,,,
Norflurazon,,,X,,,
Novaluron,,,X,,,
Octhilinone,,,X,,,
Omethoate,,,X,X,,
Oryzalin,,,X,,,
Oxabetrinil,,,X,,,
Oxadiazon,,,X,,,
Oxadixyl,,,X,,,
Oxamyl,X,,X,,,
Oxycarboxin,,,X,,,
Oxyfluorfen,,X,X,X,X,
Paclobutrazol,,X,X,X,,
Parathion,,,X,X,,
Parathion-ethyl,,X,,,,
Parathion-methyl,X,X,X,X,X,
Penconazole,X,X,X,X,,
Pencycuron,,,X,,,
Pendimethalin,,X,X,X,,
Pentachlorobenzene,,,X,,,
Penthiopyrad,,,X,,,
Permethrin,X,X,X,X,,X
Pesticides goc carbamates,,,,,,X
Pesticides goc cuc,,,,,,X
Phenmedipham,,,X,,,
Phenothrin,,X,,,,
Phenthoate,,,X,,,
Phorate,,X,X,X,,
Phoratesulfone,,,X,X,,
Phoratesulfoxide,,,X,X,,
Phosalone,X,,X,,,
Phosmet,,X,X,X,,X
Phosphamidon,,,X,,,
Phoxim,,,X,,,
Picolinafen,,,X,,,
Piperonyl butoxide,X,X,X,X,,
Piperophos,,,X,,,
Pirimicarb,,X,X,X,,
Pirimiphos-methyl,,X,X,X,,
Pretilachlor,,,X,,,
Prochloraz,X,,X,X,,
Procymidone,X,X,X,X,,
Profenofos,X,X,X,X,,
Promecarb,,,X,,,
Prometryn,,,X,,,
Propachlor,,,X,,,
Propamocarb,X,,X,,,
Propanil,,,X,,,
Propaphos,,,X,,,
Propaquizafop,,,X,,,
Propargite,X,X,X,X,,X
Propazine,,,X,,,
Propetamphos,,,X,,X,
Propham,,,X,,,X
Propiconazole,,X,X,X,,X
